"GUESS_WORD","ESTIMATED_WORDS_REMAINING"
"tares",74.1673746813934
"rates",76.2109883885585
"tales",78.7417162276975
"saner",79.90455961484
"reals",80.3605210988389
"aloes",80.3741149815916
"tears",83.9595015576324
"roles",84.7774001699235
"lanes",84.9688473520249
"raise",85.602095723591
"earls",85.9549702633815
"cares",86.5995468705749
"stare",87.2242990654206
"tries",87.3500424808836
"slate",87.8988954970263
"tires",88.4981591617106
"dares",88.5615972812235
"races",89.4525630133107
"nears",89.5454545454545
"snare",90.3276692155197
"rites",91.90455961484
"stale",92.2472387425658
"earns",93.0407816482583
"hares",93.3035967148117
"acres",93.7063154913622
"aeons",94.4613423959218
"arise",94.6323987538941
"dales",94.8068535825545
"leans",95.0464457660719
"dates",95.1948456527896
"antes",95.5907674879637
"dears",95.9164542622487
"mares",96.517417162277
"arose",96.5700934579439
"sated",96.6488246955537
"tiles",97.2758425375248
"siren",97.4695553667516
"rails",97.5698102520532
"laces",97.5788728405551
"reads",97.8643443783631
"lairs",98.2551685075049
"aides",99.8422543188898
"rages",100.291985273294
"cries",100.503256867743
"canes",101.249221183801
"liars",101.555083545738
"deals",101.586802605494
"store",102.10790144435
"loser",102.469272160861
"tones",103.113282356273
"least",103.189181534976
"saute",103.218068535826
"cores",103.533559898046
"scare",103.577740016992
"pales",103.834324553951
"aisle",103.840555083546
"lures",103.966298499009
"aster",104.339563862928
"leads",104.45227980742
"later",104.942792410082
"tiers",105.092325120363
"tapes",105.156329651657
"rules",105.219201359388
"fares",105.356273010479
"reins",105.718210138771
"rents",105.81733220051
"pates",105.998017558765
"males",106.080713678845
"dries",106.425092041914
"stole",107.04134806004
"pears",107.100254885302
"snore",107.466156896063
"gales",107.489946190881
"hears",107.574341546304
"lames",107.711979609176
"notes",107.841687907108
"solar",107.885301614274
"wares",107.902293967715
"lines",107.977060322855
"reaps",108.143585386576
"rakes",108.179835740583
"alter",108.444350042481
"rains",108.503823279524
"mates",108.546870574908
"gates",108.559331634098
"share",109.032285471538
"safer",109.227131124327
"deans",109.230529595016
"panes",109.44406683659
"reams",109.475785896347
"sabre",109.649674313226
"tails",109.936278674596
"spare",110.051826677995
"years",110.087510620221
"gears",110.597847635231
"irate",110.915038232795
"bales",111.254318889833
"pries",111.333616539224
"scale",111.428207306712
"hires",111.52676295667
"rides",112.147550269046
"stile",112.300481450014
"manes",112.703766638346
"steal",112.763806287171
"stair",113.185783064288
"raids",113.248088360238
"pores",113.31549136222
"cotes",113.520532427074
"bears",113.576040781648
"dotes",113.850184083829
"heals",114.745114698386
"darts",115.071367884452
"peals",115.45652789578
"roads",115.517700368168
"runes",115.607193429623
"mores",115.771452846219
"osier",116.00821297083
"parse",116.07448314925
"ropes",116.268762390258
"takes",116.281789861229
"names",116.413197394506
"shale",116.475502690456
"loans",116.566128575474
"rimes",117.469555366752
"caste",117.693854432172
"meals",117.710846785613
"cites",117.748229963183
"fates",117.966298499009
"risen",118.035400736335
"leaps",118.227414330218
"holes",118.426791277259
"roast",118.44831492495
"sonar",118.679977343529
"doers",118.751911639762
"raves",119.293967714528
"tides",119.336448598131
"shear",119.54772019258
"lakes",119.600962900028
"fears",119.604361370717
"teams",119.847352024922
"meats",120.305012744265
"poles",120.314641744548
"score",120.570659869725
"sable",120.587652223166
"riots",120.926932880204
"ideas",121.288870008496
"stone",121.29056924384
"stead",121.311526479751
"cones",121.313792126876
"lutes",121.376097422826
"wears",121.376097422826
"snarl",121.466156896063
"alert",121.475219484565
"sedan",121.509770603229
"toads",121.858680260549
"bores",122.324837156613
"spear",122.598414047012
"loads",122.604644576607
"baser",122.621636930048
"moles",122.678278108185
"rinse",122.743981874823
"smear",122.824412347777
"learn",123.160860945908
"heirs",123.180118946474
"rares",123.245256301331
"nails",123.331350892099
"capes",123.491645426225
"altos",123.608326253186
"stern",123.6474086661
"cages",123.794109317474
"aegis",123.811668082696
"sauce",123.949872557349
"heats",124.394505805721
"paces",124.454545454545
"robes",124.6930048145
"carts",125.471821013877
"slide",125.536391956953
"means",125.541489662985
"sales",125.564712546021
"salon",125.616822429907
"tomes",125.662135372416
"loges",125.769187199094
"paste",125.932313792127
"dames",125.936278674596
"plies",126.227414330218
"hairs",126.301614273577
"heros",126.359388275276
"liens",126.665817048995
"oaten",126.801189464741
"pairs",126.8753894081
"shire",126.953554233928
"motes",127.004531294251
"stage",127.019258000566
"wanes",127.060039648825
"rends",127.154064004531
"sober",127.162560181252
"maces",127.195978476352
"cures",127.196544888134
"islet",127.318889832909
"shore",127.397621070518
"slant",127.438969130558
"fires",127.542056074766
"miles",127.553950722175
"toils",127.836023789295
"vales",127.85471537808
"piles",128.166241857831
"cater",128.313508920986
"wires",128.313508920986
"spore",128.395072217502
"spire",128.423959218352
"coals",128.537241574625
"rated",128.75927499292
"terms",129.018691588785
"oases",129.043047295384
"lapse",129.235627301048
"limes",129.399320305862
"boles",129.478051543472
"slice",129.491645426225
"tunes",129.516567544605
"trade",129.632115548003
