guess,expected_words,possible_solution
raise,61.00086393088553,1
arise,63.72570194384449,1
irate,63.7792656587473,1
arose,66.02116630669546,1
alter,69.99179265658748,1
saner,70.12570194384449,1
later,70.22332613390928,1
snare,71.09762419006479,1
stare,71.29460043196543,1
tares,71.54341252699784,0
slate,71.57278617710583,1
alert,71.59870410367171,1
crate,72.89978401727862,1
rates,73.32742980561555,0
trace,74.02030237580993,1
reals,74.93952483801296,0
tears,75.4475161987041,0
stale,75.60388768898488,1
tales,76.1611231101512,0
aisle,76.18876889848812,1
learn,76.64060475161988,1
alone,77.16328293736501,1
leant,77.26004319654427,1
aloes,77.355939524838,0
aster,78.08509719222462,0
least,78.18963282937365,1
crane,78.74168466522679,1
earls,78.92829373650108,0
atone,78.95939524838013,1
trail,79.44751619870411,1
react,79.83023758099353,1
nears,80.58358531317495,0
scare,80.68034557235421,1
cater,80.82030237580993,1
trade,80.93174946004319,1
renal,81.15809935205183,1
store,81.2194384449244,1
prate,81.50021598272139,0
oaten,81.53995680345572,0
tries,81.5537796976242,0
cares,81.80345572354211,0
lanes,82.1758099352052,0
earns,82.49892008639308,0
snore,82.60259179265658,1
solar,82.83326133909287,1
trial,82.94211663066955,1
loser,83.16414686825054,1
roast,83.35593952483802,1
alien,83.59697624190065,1
roles,83.72051835853132,0
teary,83.76544276457884,1
siren,84.2976241900648,1
saute,84.33736501079913,1
tires,84.38574514038876,0
stole,84.53174946004319,1
grate,84.58099352051836,1
rinse,85.01123110151188,1
races,85.08207343412528,0
aeons,85.34643628509718,0
caste,85.40777537796976,1
share,85.47170626349892,1
leans,85.98401727861771,0
trice,86.05053995680346,1
tenor,86.75464362850971,1
canoe,86.83239740820734,1
parse,87.01295896328294,1
route,87.10107991360691,1
stair,87.24449244060474,1
dares,87.37580993520518,0
scale,87.42850971922246,1
rites,87.79481641468682,0
rails,87.79568034557235,0
layer,87.82764578833694,1
sonar,87.86306695464363,1
hater,87.95291576673866,1
hares,88.04190064794817,0
lairs,88.14470842332614,0
clear,88.27861771058315,1
acres,88.29676025917927,0
glare,88.54902807775377,1
sated,88.6388768898488,0
rated,88.66393088552915,0
train,88.76933045356371,1
osier,88.89805615550756,0
antes,88.99049676025918,0
adore,89.04319654427646,1
heart,89.1425485961123,1
plate,89.29114470842333,1
stile,89.3170626349892,0
taper,89.41727861771058,1
aired,90.02462203023758,0
large,90.16889848812096,1
rouse,90.33218142548597,1
liars,90.55248380129589,0
sabre,90.62591792656588,0
paler,90.81684665226781,1
lance,90.90064794816415,1
shale,90.95680345572354,1
pearl,91.10799136069114,1
noise,91.15637149028078,1
dealt,91.3377969762419,1
lathe,91.39654427645789,1
score,91.47775377969762,1
spare,91.54254859611231,1
years,91.73520518358532,0
yearn,91.99611231101511,1
ratio,92.00388768898489,1
tiles,92.0755939524838,0
liner,92.47645788336933,1
cries,92.73650107991361,0
shear,92.74514038876889,1
risen,92.75637149028078,1
steal,92.86004319654428,1
tiers,92.91792656587474,0
tamer,93.17365010799136,1
laces,93.52526997840172,0
dears,93.81036717062635,0
rents,93.84233261339092,0
aider,93.87516198704104,1
snarl,94.0047516198704,1
crone,94.02894168466523,1
dates,94.21382289416846,0
stone,94.24319654427646,1
alder,94.3123110151188,0
blare,94.39524838012959,1
canes,94.65183585313176,0
rains,95.00345572354212,0
close,95.00518358531318,1
yeast,95.1036717062635,1
plane,95.21079913606911,1
tread,95.27213822894169,1
sauce,95.30410367170627,1
hears,95.38444924406048,0
reins,95.4120950323974,0
rages,95.72397408207344,0
resin,95.73866090712743,1
reads,95.79481641468682,0
urine,95.98488120950324,1
cause,96.12742980561555,1
slice,96.12829373650108,1
mares,96.19913606911447,0
tones,96.34686825053996,0
cadre,96.40129589632829,0
shire,96.50583153347732,1
astir,96.56717062634989,0
great,96.57235421166307,1
early,96.5879049676026,1
leapt,96.66652267818574,1
cleat,96.76760259179265,1
lager,96.81511879049677,1
islet,96.82203023758099,1
arson,96.95421166306696,1
relay,97.00518358531318,1
dales,97.0475161987041,0
earth,97.29460043196543,1
trope,97.32915766738661,1
realm,97.48380129589633,1
inter,97.69805615550756,1
tripe,97.83628509719223,1
shore,97.93131749460044,1
inert,97.94341252699783,1
stern,98.02375809935205,1
flare,98.16630669546436,1
cadet,98.26997840172787,1
cores,98.35032397408207,0
crest,98.56717062634989,1
tails,98.59827213822894,0
table,98.65183585313176,1
baser,98.74946004319655,0
slant,98.89114470842333,1
carol,98.91274298056156,1
enrol,98.9939524838013,0
pears,99.08725701943844,0
crape,99.09157667386609,0
inlet,99.09330453563715,1
safer,99.11058315334773,1
lures,99.18747300215982,0
afire,99.20561555075594,1
louse,99.222030237581,1
gears,99.42850971922246,0
horse,99.48552915766739,1
lapse,99.48725701943845,1
throe,99.62289416846652,0
taker,99.78876889848812,1
cared,99.82505399568035,0
aides,99.86393088552916,0
utile,99.93218142548596,1
range,100.1110151187905,1
talon,100.11447084233261,1
panel,100.13434125269978,1
paste,100.41079913606912,1
leash,100.51533477321814,1
tonal,100.66997840172786,1
grace,100.72181425485961,1
haste,100.73650107991361,1
aside,100.75896328293736,1
clone,100.777969762419,1
nurse,100.80820734341252,1
outer,100.91533477321815,1
rules,100.9170626349892,0
reaps,100.98617710583153,0
spear,101.02678185745141,1
notes,101.09935205183585,0
smear,101.13563714902808,1
sable,101.24794816414686,0
ramen,101.52699784017278,1
salon,101.6427645788337,1
prone,101.66004319654427,1
manse,101.68077753779697,0
prose,101.88120950323975,1
baler,101.88293736501079,1
gates,101.89071274298057,0
ailed,101.98574514038877,0
tried,102.03930885529158,1
lines,102.06263498920086,0
truce,102.0816414686825,1
heals,102.4609071274298,0
deals,102.49028077753779,0
acute,102.49114470842333,1
stage,102.56112311015119,1
tapes,102.69848812095032,0
reams,102.84535637149028,0
